Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,MA_5,MA_10,Volatility_5,Price_Change,Target
2021-02-17 00:00:00+05:30,2729.622410783274,2754.016800502436,2677.273326137925,2701.491943359375,3678426,0.0,0.0,-0.011483266753636978,2763.562939453125,2783.9707275390624,48.780355739583314,-28.130467423899063,0
2021-02-18 00:00:00+05:30,2694.370114652302,2723.2916525478904,2664.481506528916,2687.645263671875,4189909,0.0,0.0,-0.005125567641072193,2737.42783203125,2772.44599609375,47.084879057276204,-6.7248509804271634,1
2021-02-19 00:00:00+05:30,2688.218005804663,2713.8430196529025,2651.428540119832,2700.393310546875,3725028,0.0,0.0,0.004743202924623935,2716.514892578125,2764.87724609375,29.54834725087456,12.17530474221212,0
2021-02-22 00:00:00+05:30,2721.6216407402294,2721.6216407402294,2587.254672532701,2600.70458984375,5366696,0.0,0.0,-0.03691637077968335,2684.621875,2742.4035400390626,49.781729585836345,-120.9170508964794,1
2021-02-23 00:00:00+05:30,2610.858896268413,2661.8453662965508,2609.100742129512,2619.825439453125,3832829,0.0,0.0,0.00735218051448272,2662.012109375,2725.1121337890627,48.02905257291932,8.966543184712009,0
2021-02-24 00:00:00+05:30,2612.617033712622,2640.176185511166,2567.915879169328,2591.607177734375,3774549,0.0,0.0,-0.010771046533787576,2640.03515625,2701.7990478515626,50.52332216116637,-21.009855978246833,1
2021-02-25 00:00:00+05:30,2614.3749823229737,2663.5153004809417,2609.496062078548,2633.099365234375,4224073,0.0,0.0,0.016010214764211828,2629.1259765625,2683.276904296875,43.002198170044615,18.724382911401335,0
2021-02-26 00:00:00+05:30,2602.0678136150045,2612.9244999684947,2531.741656490274,2544.3125,5553153,0.0,0.0,-0.03371952703595449,2597.909814453125,2657.212353515625,34.05438745230391,-57.755313615004525,1
2021-03-01 00:00:00+05:30,2572.179061062959,2606.463060851563,2550.9054425793493,2570.5966796875,3265871,0.0,0.0,0.010330562651993391,2591.888232421875,2638.2550537109373,36.04061781328227,-1.5823813754591356,1
2021-03-02 00:00:00+05:30,2602.06768713035,2659.2076870166584,2591.518764074416,2642.81298828125,3306469,0.0,0.0,0.028093208539633263,2596.4857421875,2629.24892578125,41.54173284739472,40.745301150900104,1
2021-03-03 00:00:00+05:30,2667.998970716374,2693.4922063508966,2634.506047707785,2689.184814453125,3509857,0.0,0.0,0.017546389539288887,2616.00126953125,2628.018212890625,58.2406662953779,21.18584373675094,0
2021-03-04 00:00:00+05:30,2657.449345082376,2708.8313445735425,2651.3398038352525,2680.920654296875,3916760,0.0,0.0,-0.0030731097810139385,2625.56552734375,2627.345751953125,65.25470739010417,23.471309214498888,0
2021-03-05 00:00:00+05:30,2651.383985179007,2692.788379354336,2634.2419852330613,2644.307373046875,3203686,0.0,0.0,-0.013656980556779108,2645.564501953125,2621.737158203125,46.85646899568907,-7.076612132132141,0
2021-03-08 00:00:00+05:30,2651.29553142147,2666.239836472586,2633.7139960672166,2643.33984375,2003125,0.0,0.0,-0.0003658913887004678,2660.113134765625,2626.00068359375,22.959616135083454,-7.955687671470059,1
2021-03-09 00:00:00+05:30,2643.340389623625,2696.0410098074835,2630.2862256983,2682.019775390625,1942397,0.0,0.0,0.014632977190610186,2667.9544921875,2632.2201171875,22.25841018741924,38.679385766999985,1
