Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-04 00:00:00+05:30,2827.1551853670535,2846.319103885096,2791.948114115194,2802.892578125,2057261,0.0,0.0
2021-02-05 00:00:00+05:30,2812.1229628901015,2818.188722177429,2750.631577608687,2776.080810546875,2366135,0.0,0.0
2021-02-08 00:00:00+05:30,2803.8162689744304,2835.902581505412,2773.619886265713,2825.441650390625,2526592,0.0,0.0
2021-02-09 00:00:00+05:30,2808.650880739887,2853.308033128852,2781.399495042567,2792.739501953125,2658751,0.0,0.0
2021-02-10 00:00:00+05:30,2799.860116229869,2830.1002777917115,2775.509727373465,2824.738037109375,2127983,0.0,0.0
2021-02-11 00:00:00+05:30,2826.2324936093946,2830.0125675509667,2799.904180954972,2818.32080078125,1165882,0.0,0.0
2021-02-12 00:00:00+05:30,2799.156015682018,2853.0434609021895,2797.2220898446362,2804.9580078125,2777404,0.0,0.0
2021-02-15 00:00:00+05:30,2820.9577592450128,2820.9577592450128,2752.8732965739478,2760.169677734375,2630853,0.0,0.0
2021-02-16 00:00:00+05:30,2769.0921923769665,2784.6078135757903,2725.138348053523,2732.874267578125,3435770,0.0,0.0
2021-02-17 00:00:00+05:30,2729.622410783274,2754.016800502436,2677.273326137925,2701.491943359375,3678426,0.0,0.0
2021-02-18 00:00:00+05:30,2694.370114652302,2723.2916525478904,2664.481506528916,2687.645263671875,4189909,0.0,0.0
2021-02-19 00:00:00+05:30,2688.218005804663,2713.8430196529025,2651.4285401198317,2700.393310546875,3725028,0.0,0.0
2021-02-22 00:00:00+05:30,2721.6216407402294,2721.6216407402294,2587.254672532701,2600.70458984375,5366696,0.0,0.0
2021-02-23 00:00:00+05:30,2610.8588962684134,2661.8453662965508,2609.100742129512,2619.825439453125,3832829,0.0,0.0
2021-02-24 00:00:00+05:30,2612.617033712622,2640.176185511166,2567.915879169328,2591.607177734375,3774549,0.0,0.0
2021-02-25 00:00:00+05:30,2614.3749823229737,2663.5153004809417,2609.496062078548,2633.099365234375,4224073,0.0,0.0
2021-02-26 00:00:00+05:30,2602.0678136150045,2612.9244999684947,2531.7416564902746,2544.3125,5553153,0.0,0.0
2021-03-01 00:00:00+05:30,2572.179061062959,2606.463060851563,2550.9054425793493,2570.5966796875,3265871,0.0,0.0
2021-03-02 00:00:00+05:30,2602.06768713035,2659.2076870166584,2591.518764074416,2642.81298828125,3306469,0.0,0.0
2021-03-03 00:00:00+05:30,2667.998970716374,2693.4922063508966,2634.506047707785,2689.184814453125,3509857,0.0,0.0
2021-03-04 00:00:00+05:30,2657.449345082376,2708.8313445735425,2651.3398038352525,2680.920654296875,3916760,0.0,0.0
2021-03-05 00:00:00+05:30,2651.383985179007,2692.7883793543356,2634.2419852330613,2644.307373046875,3203686,0.0,0.0
2021-03-08 00:00:00+05:30,2651.29553142147,2666.239836472586,2633.7139960672166,2643.33984375,2003125,0.0,0.0
